,Estimate,Std. Error,t value,Pr(>|t|)
eq2_Constante,1.0042977268253693e-01,2.4234040708429757e-03,4.1441612602228012e+01,0.0000000000000000e+00
eq2_y^1,5.1724225310625496e-02,7.0676371509865062e-03,7.3184607819610248e+00,2.5579538487363607e-13
eq2_y^2,-9.0584641378327324e-04,9.2065957328294670e-03,-9.8391027484040411e-02,9.2162231082807766e-01
eq2_y^3,-3.4041216263317492e-02,1.2046979275344415e-02,-2.8257055553326067e+00,4.7200863435250540e-03
eq2_y^4,-1.7378511302127975e-03,6.7633347166463605e-03,-2.5695181489916280e-01,7.9721734218879581e-01
eq2_y^5,1.0198825850207817e-02,6.2286470518745016e-03,1.6374062882786875e+00,1.0155376927063609e-01
eq2_age,-5.5201700721305277e-04,1.5051822173583069e-04,-3.6674430567076368e+00,2.4531749596379271e-04
eq2_hsex,-3.3638939974854572e-02,1.8915133870600434e-03,-1.7784140574938871e+01,0.0000000000000000e+00
eq2_carown,9.4381351525352729e-03,2.1660664961048776e-03,4.3572693495363000e+00,1.3203526635585661e-05
eq2_time,-2.3785034928999397e-03,4.8708605107871755e-04,-4.8831279147338007e+00,1.0483365955327173e-06
eq2_tran,-1.0627751766415158e-02,2.9337809707961401e-03,-3.6225443794909835e+00,2.9209393406981476e-04
eq2_y*age,-2.6951848185183607e-06,1.9863858865061632e-04,-1.3568284172915151e-02,9.8917447793660274e-01
eq2_y*hsex,-9.0282037294824990e-03,4.2817480791414357e-03,-2.1085322075494011e+00,3.4991415793562464e-02
eq2_y*carown,9.3625379552819904e-04,5.6580746995009232e-03,1.6547215179233712e-01,8.6857323522713403e-01
eq2_y*time,-6.1260190241845132e-04,1.1010793456006974e-03,-5.5636490218990020e-01,5.7796465741375846e-01
eq2_y*tran,1.2745896249280081e-02,7.1346400767601688e-03,1.7864806230096439e+00,7.4029329853737558e-02
eq2_pfoodh,2.3076556409897749e-02,1.8661272426894023e-02,1.2366014429241472e+00,2.1624261956483415e-01
eq2_pfoodr,3.5774566952063526e-02,2.4064129306569777e-02,1.4866345877844278e+00,1.3711952789044846e-01
eq2_prent,-9.4060534268438530e-03,1.3232710269351012e-02,-7.1081836112060248e-01,4.7720110258469894e-01
eq2_poper,4.1981014929438967e-02,1.2427620384897579e-02,3.3780413006866197e+00,7.3076338178124089e-04
eq2_pfurn,-7.4788844832178847e-02,2.0431722054919041e-02,-3.6604278695232666e+00,2.5213056965789349e-04
eq2_pcloth,-6.0529262085152809e-02,1.5771596980277306e-02,-3.8378651293743968e+00,1.2430658082029922e-04
eq2_ptranop,-4.1492848915233114e-03,1.0875021423784888e-02,-3.8154268666067742e-01,7.0280270631915376e-01
eq2_precr,2.8177603369749282e-02,1.9660949107283710e-02,1.4331761511610059e+00,1.5181561508850616e-01
eq2_y*pfoodh,2.1179362098419263e-03,4.2876081218243912e-02,4.9396683411000203e-02,9.6060342716446900e-01
eq2_y*pfoodr,-2.7816859479269498e-02,5.5082139108791520e-02,-5.0500688479670397e-01,6.1355688796896524e-01
eq2_y*prent,3.1951869893535774e-03,3.0735806685565206e-02,1.0395650330707501e-01,9.1720440773802059e-01
eq2_y*poper,1.0957389163386701e-01,2.9565930498491901e-02,3.7060863563707609e+00,2.1078093494808492e-04
eq2_y*pfurn,-7.5714890202098609e-02,4.7079619673188924e-02,-1.6082307106065472e+00,1.0779285061728405e-01
eq2_y*pcloth,-1.9865100244246762e-02,3.6343133878269582e-02,-5.4659843894542548e-01,5.8465780618533558e-01
eq2_y*ptranop,-2.2688632927307491e-02,2.5525126421443948e-02,-8.8887445855102654e-01,3.7407610137236791e-01
eq2_y*precr,4.4275675371316339e-02,4.4880087434745107e-02,9.8653273427090415e-01,3.2387795346691606e-01
eq2_age*pfoodh,-2.7254104825828718e-03,1.2778745913970832e-03,-2.1327683490468474e+00,3.2950034376232784e-02
eq2_age*pfoodr,2.4292758630002731e-03,1.2780369051420930e-03,1.9007869438090950e+00,5.7337377980977600e-02
eq2_age*prent,-2.2695292285421787e-04,6.8454264488286088e-04,-3.3153949509318609e-01,7.4023881614112308e-01
eq2_age*poper,9.9771092932326522e-04,8.1836312440975475e-04,1.2191543088440908e+00,2.2279309180896067e-01
eq2_age*pfurn,2.0204825112017824e-03,9.6420805806495923e-04,2.0954839511055625e+00,3.6134501371183347e-02
eq2_age*pcloth,3.0203395774008281e-05,9.4847466782817388e-04,3.1844177602727439e-02,9.7459648075175309e-01
eq2_age*ptranop,-2.0520270295347037e-04,6.7128867978995873e-04,-3.0568473613718139e-01,7.5984634715207244e-01
eq2_age*precr,-1.9698266768306961e-03,9.6362070906874902e-04,-2.0441929675155621e+00,4.0941269083037746e-02
eq3_Constante,3.4662190343548499e-01,3.2447654516633540e-03,1.0682494885964633e+02,0.0000000000000000e+00
eq3_y^1,-1.2605260156582898e-01,1.0048885413605680e-02,-1.2543938593941988e+01,0.0000000000000000e+00
eq3_y^2,-8.2031319407160200e-02,1.4703320635162231e-02,-5.5791015813792795e+00,2.4338437931703538e-08
eq3_y^3,1.3857073345725823e-01,1.9248409509861786e-02,7.1990744682703527e+00,6.1728400169158704e-13
eq3_y^4,5.3524264094711492e-03,1.0802233313842613e-02,4.9549257583727963e-01,6.2025528646698502e-01
eq3_y^5,-3.7325667835581812e-02,9.9495248547315038e-03,-3.7515025471624974e+00,1.7603532045118442e-04
eq3_age,1.1533994035594363e-03,1.7167826424187443e-04,6.7183775922526374e+00,1.8630874620839677e-11
eq3_hsex,1.2994449779181213e-02,3.0209949177383818e-03,4.3013808804780425e+00,1.7015428440014801e-05
eq3_carown,2.9770018573870169e-02,3.4488073143622571e-03,8.6319750163761029e+00,0.0000000000000000e+00
eq3_time,3.4035477042519799e-03,3.7736571373509392e-04,9.0192287756201086e+00,0.0000000000000000e+00
eq3_tran,1.5608649014292758e-03,4.6803645502059652e-03,3.3349216384449965e-01,7.3876461786111314e-01
eq3_y*age,1.7974187402103217e-03,3.1598778623485825e-04,5.6882538455913245e+00,1.2927259263051383e-08
eq3_y*hsex,2.1930437206139550e-02,6.8340518755951804e-03,3.2089948401554413e+00,1.3330885640263634e-03
eq3_y*carown,-6.8044748089918491e-02,9.0258448059698966e-03,-7.5388785817491746e+00,4.8405723873656825e-14
eq3_y*time,-1.4425789668735024e-03,8.6268671377806301e-04,-1.6721933279299628e+00,9.4494323064463703e-02
eq3_y*tran,-4.4797196578786475e-02,1.1377816682914767e-02,-3.9372401425710382e+00,8.2568913928549037e-05
eq3_pfoodh,1.0803434440257125e-02,1.1990474808425015e-02,9.0100138759027071e-01,3.6759321208655704e-01
eq3_pfoodr,-9.4060534268551790e-03,1.3232710269350774e-02,-7.1081836112147123e-01,4.7720110258416071e-01
eq3_prent,7.3224233896397553e-02,1.6364392537863166e-02,4.4746075191593420e+00,7.6770637607026515e-06
eq3_poper,-1.4092601447933742e-02,8.1577361654213351e-03,-1.7275137565331986e+00,8.4083448159792074e-02
eq3_pfurn,2.6589337582490810e-02,1.3169980805137567e-02,2.0189351811445615e+00,4.3500867570555712e-02
eq3_pcloth,-2.7099727703194316e-02,9.8457707415573175e-03,-2.7524231890562909e+00,5.9183687164889864e-03
eq3_ptranop,-7.7917637680097263e-03,1.0689858610533688e-02,-7.2889306134805132e-01,4.6607150863607050e-01
eq3_precr,-2.6913311920596542e-02,1.3368236237951242e-02,-2.0132283303157097e+00,4.4097553299693448e-02
eq3_y*pfoodh,-3.7868171416016443e-02,2.7963352003441230e-02,-1.3542071569730376e+00,1.7567823613516520e-01
eq3_y*pfoodr,3.1951869893936699e-03,3.0735806685565401e-02,1.0395650330837877e-01,9.1720440773698586e-01
eq3_y*prent,1.4147770578612107e-01,3.8460305844594860e-02,3.6785382403817799e+00,2.3489352795325047e-04
eq3_y*poper,-4.4857152276924536e-02,1.9387807827414213e-02,-2.3136784042957586e+00,2.0690603694499377e-02
eq3_y*pfurn,-1.5761860743283456e-03,3.0579455647286202e-02,-5.1543954624588793e-02,9.5889234478206409e-01
eq3_y*pcloth,-3.8424504554950924e-02,2.3082868920394947e-02,-1.6646329660088666e+00,9.5994133020442796e-02
eq3_y*ptranop,2.8691699159275421e-03,2.5257303702823999e-02,1.1359763297325924e-01,9.0955735552061956e-01
eq3_y*precr,-2.3955413404742758e-02,3.1057115797615605e-02,-7.7133413034387188e-01,4.4051363609174343e-01
eq3_age*pfoodh,2.7675370045051809e-05,7.4846212003581341e-04,3.6976313569118985e-02,9.7050408336361738e-01
eq3_age*pfoodr,-2.2695292285365170e-04,6.8454264488287649e-04,-3.3153949509235142e-01,7.4023881614175346e-01
eq3_age*prent,4.1099735463573150e-04,1.1479013080985553e-03,3.5804241334695341e-01,7.2031353427454436e-01
eq3_age*poper,1.6400147452068286e-04,4.8474776500513021e-04,3.3832332268504051e-01,7.3512139287347811e-01
eq3_age*pfurn,-5.2303256452271231e-04,5.6058173382477730e-04,-9.3301749408445434e-01,3.5081678097675617e-01
eq3_age*pcloth,8.1464206075605944e-04,5.5819268825226204e-04,1.4594280396376333e+00,1.4445548352394733e-01
eq3_age*ptranop,-2.1929976578275205e-04,5.5357964918239882e-04,-3.9614853274798589e-01,6.9199764987474777e-01
eq3_age*precr,-1.3116473692643387e-03,7.0872061072868445e-04,-1.8507255883467870e+00,6.4216687596820643e-02
eq4_Constante,4.8351617100198883e-02,1.5569684319095766e-03,3.1054975880851373e+01,0.0000000000000000e+00
eq4_y^1,9.1903404624358604e-03,4.5304860486259082e-03,2.0285550741786924e+00,4.2510490236500553e-02
eq4_y^2,1.4989303347425032e-02,5.8539041684940287e-03,2.5605652084463779e+00,1.0453980120235906e-02
eq4_y^3,-1.5777611851822401e-02,7.6616682926178284e-03,-2.0592919517312498e+00,3.9472981386881489e-02
eq4_y^4,1.4958624606614104e-03,4.3008975883817935e-03,3.4780239006440200e-01,7.2799049402424787e-01
eq4_y^5,2.5300233612536643e-03,3.9612860393726775e-03,6.3868736973468532e-01,5.2303012619495126e-01
eq4_age,-1.1252156471157477e-04,1.0348295699586917e-04,-1.0873439257835125e+00,2.7689164280746592e-01
eq4_hsex,1.6888792921802967e-02,1.2030768647127770e-03,1.4037999912694691e+01,0.0000000000000000e+00
eq4_carown,9.5986664835493226e-03,1.3756453425718459e-03,6.9775734969625809e+00,3.0517810500896303e-12
eq4_time,4.5744171533253295e-04,2.8800346889998373e-04,1.5883201583637550e+00,1.1222216451507849e-01
eq4_tran,8.3178654157362621e-03,1.8652597362304900e-03,4.4593604065811583e+00,8.2436540722596874e-06
eq4_y*age,2.3228947013742156e-04,1.2649619274669651e-04,1.8363356642881086e+00,6.6315726013776333e-02
eq4_y*hsex,-1.8482618631838806e-02,2.7226336742428806e-03,-6.7885073216757732e+00,1.1493916929339321e-11
eq4_y*carown,8.7024970998366754e-03,3.5975660137141027e-03,2.4189958062374166e+00,1.5568019751711848e-02
eq4_y*time,-2.1428222193091337e-03,6.7370918236331605e-04,-3.1806338334179900e+00,1.4706960016015458e-03
eq4_y*tran,1.0653838881929291e-02,4.5386748270578236e-03,2.3473457094602206e+00,1.8912733322104636e-02
eq4_pfoodh,-2.5329910933691767e-02,1.3333129555163225e-02,-1.8997723549369407e+00,5.7470457573820743e-02
eq4_pfoodr,4.1981014929440036e-02,1.2427620384897581e-02,3.3780413006867049e+00,7.3076338178124089e-04
eq4_prent,-1.4092601447923949e-02,8.1577361654213733e-03,-1.7275137565319902e+00,8.4083448160008789e-02
eq4_poper,4.6914132690660068e-02,1.2228158380440687e-02,3.8365656733478901e+00,1.2496560709385207e-04
eq4_pfurn,-2.6579284552191482e-02,1.4030105404079108e-02,-1.8944465338417080e+00,5.8173243698191879e-02
eq4_pcloth,-1.2508586122854454e-02,1.0600463271089072e-02,-1.1800037227589342e+00,2.3800601754408235e-01
eq4_ptranop,-3.0729112783865638e-02,7.6836988461955894e-03,-3.9992604341957607e+00,6.3659159305728963e-05
eq4_precr,3.1918359651306495e-02,1.2929910732064346e-02,2.4685676732596065e+00,1.3569805800631940e-02
eq4_y*pfoodh,-5.0529878829098471e-02,3.1891613236321267e-02,-1.5844252987349707e+00,1.1310517339156467e-01
eq4_y*pfoodr,1.0957389163386488e-01,2.9565930498491981e-02,3.7060863563706792e+00,2.1078093494830696e-04
eq4_y*prent,-4.4857152276936436e-02,1.9387807827413929e-02,-2.3136784042964065e+00,2.0690603694463849e-02
eq4_y*poper,2.7565150791868311e-02,3.0260636408133687e-02,9.1092435797084348e-01,3.6234092775013460e-01
eq4_y*pfurn,-2.3633958492697900e-02,3.3742354726695664e-02,-7.0042410152245871e-01,4.8366671722709853e-01
eq4_y*pcloth,-4.0465789850572156e-02,2.5748590586214638e-02,-1.5715730037758595e+00,1.1605782040879986e-01
eq4_y*ptranop,2.2722478660143056e-03,1.8332159315957726e-02,1.2394873003511189e-01,9.0135651580441456e-01
eq4_y*precr,5.2159714181984014e-02,3.1071885831197361e-02,1.6786787408189323e+00,9.3222778245912075e-02
eq4_age*pfoodh,-1.0244623615454011e-03,1.1259037422677491e-03,-9.0990226169954014e-01,3.6287974724415673e-01
eq4_age*pfoodr,9.9771092932329753e-04,8.1836312440975595e-04,1.2191543088441286e+00,2.2279309180894624e-01
eq4_age*prent,1.6400147452057135e-04,4.8474776500511790e-04,3.3832332268481907e-01,7.3512139287364509e-01
eq4_age*poper,-2.5113156214126803e-04,1.0452883094497524e-03,-2.4025100048566081e-01,8.1013695636843730e-01
eq4_age*pfurn,1.8239448067725276e-03,8.4006003160965793e-04,2.1712076972375725e+00,2.9921556687560580e-02
eq4_age*pcloth,-9.6766538682906036e-04,8.8996716756710101e-04,-1.0873045906562628e+00,2.7690902031693576e-01
eq4_age*ptranop,2.4464385452184961e-04,5.6312850212139273e-04,4.3443699546415804e-01,6.6397356977013811e-01
eq4_age*precr,-2.6790524270500239e-04,8.5153475845962988e-04,-3.1461457097726142e-01,7.5305601766591534e-01
eq5_Constante,3.2248338422606597e-02,1.9777863985870211e-03,1.6305268579885876e+01,0.0000000000000000e+00
eq5_y^1,4.1642507880861289e-02,5.5864374502406699e-03,7.4542153656562080e+00,9.2370555648813024e-14
eq5_y^2,2.1429088688908530e-02,6.9194075453202775e-03,3.0969542621320834e+00,1.9566039917586764e-03
eq5_y^3,-1.4379966938054881e-02,9.0549489324280568e-03,-1.5880781929709831e+00,1.1227686196619246e-01
eq5_y^4,-2.2539071419088721e-03,5.0860668214536154e-03,-4.4315326971356966e-01,6.5765736419285004e-01
eq5_y^5,4.3429566523366511e-03,4.6820936613377363e-03,9.2756723091605364e-01,3.5363791116394738e-01
eq5_age,-3.6649154450152344e-04,1.1632885934896327e-04,-3.1504782781555711e+00,1.6312799590900706e-03
eq5_hsex,1.0318284351098448e-02,1.4224447396308953e-03,7.2539087555527111e+00,4.1255887595070817e-13
eq5_carown,8.2848712452143342e-03,1.6271777279252577e-03,5.0915589016683551e+00,3.5680055088249674e-07
eq5_time,4.5963447099157170e-04,6.6048548259725929e-04,6.9590397230856404e-01,4.8649316582476532e-01
eq5_tran,2.6970220590448995e-03,2.2052245218647927e-03,1.2230147235820825e+00,2.2133161349416675e-01
eq5_y*age,-3.0686822749949479e-04,1.4956708188311365e-04,-2.0517096652277513e+00,4.0204629119623636e-02
eq5_y*hsex,4.8421715651770824e-03,3.2198034154001819e-03,1.5038718022402184e+00,1.3262257290616719e-01
eq5_y*carown,3.2653729508969141e-03,4.2533385854288137e-03,7.6771996522531849e-01,4.4265827558939419e-01
eq5_y*time,1.5680277510868512e-03,1.5198047055481642e-03,1.0317297645958359e+00,3.0220520409347729e-01
eq5_y*tran,7.0633737707483865e-03,5.3651437934207997e-03,1.3165301886987824e+00,1.8800398176177779e-01
eq5_pfoodh,6.6030023555362263e-02,1.8426370243790756e-02,3.5834525564041999e+00,3.3950039804131471e-04
eq5_pfoodr,-7.4788844832176238e-02,2.0431722054919069e-02,-3.6604278695231343e+00,2.5213056965833758e-04
eq5_prent,2.6589337582487091e-02,1.3169980805137619e-02,2.0189351811442711e+00,4.3500867570585910e-02
eq5_poper,-2.6579284552190347e-02,1.4030105404079106e-02,-1.8944465338416274e+00,5.8173243698202537e-02
eq5_pfurn,-4.8603504179028246e-03,3.8932619361376458e-02,-1.2484005694013461e-01,9.0065082569460575e-01
eq5_pcloth,3.3755991328685807e-02,1.7525949967684414e-02,1.9260577253117515e+00,5.4104512978040864e-02
eq5_ptranop,-1.4498366389484584e-02,9.9361707252532926e-03,-1.4591502894204742e+00,1.4453189735623218e-01
eq5_precr,-2.1393015761218354e-02,3.0723757654965437e-02,-6.9630206049229493e-01,4.8624388221657466e-01
eq5_y*pfoodh,5.8525524264771221e-02,4.2052704628845888e-02,1.3917184347906570e+00,1.6401570951524524e-01
eq5_y*pfoodr,-7.5714890202093044e-02,4.7079619673188473e-02,-1.6082307106064446e+00,1.0779285061730626e-01
eq5_y*prent,-1.5761860743684672e-03,3.0579455647287701e-02,-5.1543954625898308e-02,9.5889234478102070e-01
eq5_y*poper,-2.3633958492700068e-02,3.3742354726695428e-02,-7.0042410152252788e-01,4.8366671722705545e-01
eq5_y*pfurn,4.9381504007972150e-02,8.9677569482450328e-02,5.5065613723659168e-01,5.8187261003281998e-01
eq5_y*pcloth,3.8962382047951938e-02,4.0876043285418488e-02,9.5318379462257785e-01,3.4050293369351370e-01
eq5_y*ptranop,-9.9337215229852727e-03,2.3402063832728758e-02,-4.2448057547354223e-01,6.7121773800596274e-01
eq5_y*precr,-2.2753800099430573e-02,7.0475436193783436e-02,-3.2286142985855915e-01,7.4680193927600391e-01
eq5_age*pfoodh,-2.0109532425767809e-03,1.1531363322850449e-03,-1.7438989530335010e+00,8.1184684093551507e-02
eq5_age*pfoodr,2.0204825112019103e-03,9.6420805806495403e-04,2.0954839511057064e+00,3.6134501371170691e-02
eq5_age*prent,-5.2303256452331665e-04,5.6058173382477546e-04,-9.3301749408553547e-01,3.5081678097619839e-01
eq5_age*poper,1.8239448067725863e-03,8.4006003160965912e-04,2.1712076972376391e+00,2.9921556687555473e-02
eq5_age*pfurn,1.1277816818058313e-04,1.3268453016163043e-03,8.4997224652490946e-02,9.3226403863128038e-01
eq5_age*pcloth,2.5641558656517264e-04,1.0656374629101398e-03,2.4062178319531824e-01,8.0984954549682664e-01
eq5_age*ptranop,-1.3941054072401184e-03,6.2809467047771734e-04,-2.2195784692453882e+00,2.6453193046805046e-02
eq5_age*precr,-2.1330557188111548e-05,9.9106834462615975e-04,-2.1522791343070929e-02,9.8282873423071093e-01
eq6_Constante,6.5100213077762703e-02,1.8363722344320406e-03,3.5450445098837555e+01,0.0000000000000000e+00
eq6_y^1,3.0025319462405352e-02,5.3611499542526187e-03,5.6005371456898727e+00,2.1514234171959856e-08
eq6_y^2,4.6679789076351653e-02,6.8772901685811433e-03,6.7875264722154629e+00,1.1572076630272932e-11
eq6_y^3,2.1225491337376595e-03,8.9976835327854766e-03,2.3589950969086451e-01,8.1351190223989822e-01
eq6_y^4,-1.4174020579178406e-02,5.0532445045453145e-03,-2.8049346447473686e+00,5.0351977916696100e-03
eq6_y^5,-6.2647445005364821e-03,4.6526488184477077e-03,-1.3464898695334215e+00,1.7815250389170378e-01
eq6_age,-2.5002876446772161e-04,1.2067599109911001e-04,-2.0719014792459873e+00,3.8281265353045768e-02
eq6_hsex,2.8528746994851840e-02,1.4131614589349072e-03,2.0187889228421085e+01,0.0000000000000000e+00
eq6_carown,1.2441689005728659e-02,1.6161155185440638e-03,7.6985146562649218e+00,1.4210854715202004e-14
eq6_time,-8.8379974630251523e-04,3.6853810605849333e-04,-2.3981231025326890e+00,1.6484051053696769e-02
eq6_tran,-5.9194220173284301e-03,2.1906883700343522e-03,-2.7020830978509314e+00,6.8936696748664872e-03
eq6_y*age,-4.4082040864393068e-04,1.4848227648299345e-04,-2.9688419324202675e+00,2.9910819885285989e-03
eq6_y*hsex,3.2207241645493115e-02,3.1982645613618755e-03,1.0070224344348400e+01,0.0000000000000000e+00
eq6_y*carown,1.4798603723931200e-02,4.2258664541021812e-03,3.5019099360240622e+00,4.6245828877933270e-04
eq6_y*time,3.6398540235594413e-04,8.3786480060797012e-04,4.3442020967085576e-01,6.6398575675697424e-01
eq6_y*tran,1.3889758268523978e-02,5.3278076422355299e-03,2.6070307340705496e+00,9.1366333665818811e-03
eq6_pfoodh,3.0522533553375298e-03,1.3622322368097618e-02,2.2406262844620836e-01,8.2270975906882438e-01
eq6_pfoodr,-6.0529262085152802e-02,1.5771596980277303e-02,-3.8378651293743973e+00,1.2430658082029922e-04
eq6_prent,-2.7099727703192956e-02,9.8457707415574355e-03,-2.7524231890561199e+00,5.9183687164920951e-03
eq6_poper,-1.2508586122854430e-02,1.0600463271089088e-02,-1.1800037227589302e+00,2.3800601754408390e-01
eq6_pfurn,3.3755991328686091e-02,1.7525949967684373e-02,1.9260577253117723e+00,5.4104512978038422e-02
eq6_pcloth,5.7084255523722441e-02,1.7496166976036155e-02,3.2626720813712287e+00,1.1046314116920364e-03
eq6_ptranop,3.3388012704832250e-02,8.4958572135793286e-03,3.9299168836626182e+00,8.5123466645908863e-05
eq6_precr,2.4234238035527208e-02,1.7312550243782594e-02,1.3998075208030301e+00,1.6157901432148147e-01
eq6_y*pfoodh,4.6342506296617084e-02,3.1999887378948530e-02,1.4482084186053730e+00,1.4756690584673882e-01
eq6_y*pfoodr,-1.9865100244244940e-02,3.6343133878269457e-02,-5.4659843894537730e-01,5.8465780618536911e-01
eq6_y*prent,-3.8424504554949772e-02,2.3082868920394364e-02,-1.6646329660088586e+00,9.5994133020444572e-02
eq6_y*poper,-4.0465789850569894e-02,2.5748590586214561e-02,-1.5715730037757762e+00,1.1605782040881918e-01
eq6_y*pfurn,3.8962382047950647e-02,4.0876043285418474e-02,9.5318379462254654e-01,3.4050293369352946e-01
eq6_y*pcloth,-4.6913933076831262e-02,4.1728072602252947e-02,-1.1242774983644541e+00,2.6090232346128195e-01
eq6_y*ptranop,1.0878362517978954e-02,2.0265749505557970e-02,5.3678560050273572e-01,5.9141881781912553e-01
eq6_y*precr,1.5987662244161666e-02,4.0133879259816825e-02,3.9835825838468014e-01,6.9036832892166267e-01
eq6_age*pfoodh,2.2139868730508285e-03,1.1159371631830029e-03,1.9839709135018349e+00,4.7266164853359438e-02
eq6_age*pfoodr,3.0203395774041448e-05,9.4847466782817084e-04,3.1844177602762508e-02,9.7459648075172511e-01
eq6_age*prent,8.1464206075614379e-04,5.5819268825227928e-04,1.4594280396377395e+00,1.4445548352391824e-01
eq6_age*poper,-9.6766538682903889e-04,8.8996716756710491e-04,-1.0873045906562337e+00,2.7690902031694842e-01
eq6_age*pfurn,2.5641558656515530e-04,1.0656374629101357e-03,2.4062178319530289e-01,8.0984954549683863e-01
eq6_age*pcloth,-2.7608083579996313e-03,1.4162325344200908e-03,-1.9494032871728286e+00,5.1254525541665208e-02
eq6_age*ptranop,-6.1459639716072187e-04,6.0978899348422858e-04,-1.0078837167083396e+00,3.1351661731333214e-01
eq6_age*precr,9.5994189845959531e-04,1.0253251007016231e-03,9.3623173547854577e-01,3.4915975318689596e-01
